"RUN_NUM","COMP_CD","POL_NUM","AGT_CD","AGT_RANK_CD","BNS_RATE","BNS_BASE","BNS_AMT","WRTN_AGT","RPT_LVL","PREV_YTD_BNS","CURR_YTD_BNS","PARM1_VAL","PARM2_VAL","PARM3_VAL","PARM4_VAL","PARM5_VAL","TRANS_AC_IND","BNS_MTH","GOR_GEN_LVL"
"202004","GAGFYC","4259432021","G00132","BD","25","3845046","961261.5","G00308","3","","","25","3845046","15","0","","","202004","1"
"202004","GAGFYC","4259432021","G00077","BD","20","3845046","769009.2","G00132","4","","","20","3845046","10","0","","","202004","2"
"202004","GABFYC","4259432039","G00438","BSM","50","409188","163675.2","G00438","1","","","50","409188","","","","","202004",""
"202004","GABFYC","4259432039","G00308","BD","50","409188","163675.2","G00438","2","","","50","409188","","","","","202004",""
"202004","GAGFYC","4259432039","G00132","BD","25","409188","102297","G00308","3","","","25","409188","15","0","","","202004","1"
"202004","GAGFYC","4259432039","G00077","BD","20","409188","81837.6","G00132","4","","","20","409188","10","0","","","202004","2"
"202004","GABFYC","4259432047","G00438","BSM","50","605370","242148","G00438","1","","","50","605370","","","","","202004",""
"202004","GABFYC","4259432047","G00308","BD","50","605370","242148","G00438","2","","","50","605370","","","","","202004",""
"202004","GAGFYC","4259432047","G00132","BD","25","605370","151342.5","G00308","3","","","25","605370","15","0","","","202004","1"
"202004","GAGFYC","4259432047","G00077","BD","20","605370","121074","G00132","4","","","20","605370","10","0","","","202004","2"
"202004","GAGFYC","4268469329","G00132","BD","20","1943760","388752","G00133","5","","","20","1943760","10","0","","","202004","2"
"202004","GAGFYC","4268469329","G00077","BD","15","1943760","291564","G00132","6","","","15","1943760","5","0","","","202004","3"
"202004","GABFYC","4268474329","G00478","BD","100","5049459","4039567.2","G00487","2","","","100","5049459","","","","","202004",""
"202004","GABFYC","4268474337","G00478","BD","100","1542460","1233968","G00487","2","","","100","1542460","","","","","202004",""
"202004","GABFYC","4268474345","G00478","BD","100","2148040","1718432","G00487","2","","","100","2148040","","","","","202004",""
"202004","GABFYC","4268474352","G00478","BD","100","3084920","2467936","G00487","2","","","100","3084920","","","","","202004",""
"202004","GABFYC","4268474360","G00478","BD","100","1468100","1174480","G00487","2","","","100","1468100","","","","","202004",""
"202004","GABFYC","4268474378","G00478","BD","100","18528760","14823008","G00487","2","","","100","18528760","","","","","202004",""
"202004","GABFYC","4268616929","G00513","BSM","50","1652580","661032","G00514","2","","","50","1652580","","","","","202004",""
"202004","GABFYC","4268616929","G00511","BD","50","1652580","661032","G00514","3","","","50","1652580","","","","","202004",""
"202004","GAGFYC","4268616929","G00478","BD","25","1652580","413145","G00511","4","","","25","1652580","15","0","","","202004","1"
"202004","GABFYC","4268616937","G00513","BSM","50","2148040","859216","G00514","2","","","50","2148040","","","","","202004",""
"202004","GABFYC","4268616937","G00511","BD","50","2148040","859216","G00514","3","","","50","2148040","","","","","202004",""
"202004","GAGFYC","4268616937","G00478","BD","25","2148040","537010","G00511","4","","","25","2148040","15","0","","","202004","1"
"202004","GABFYC","4268616945","G00513","BSM","50","859340","343736","G00514","2","","","50","859340","","","","","202004",""
"202004","GABFYC","4268616945","G00511","BD","50","859340","343736","G00514","3","","","50","859340","","","","","202004",""
"202004","GAGFYC","4268616945","G00478","BD","25","859340","214835","G00511","4","","","25","859340","15","0","","","202004","1"
"202004","GABFYC","4259472035","G00390","BSM","50","1250000","625000","G00390","1","","","50","1250000","","","","","202004",""
"202004","GABFYC","4259472035","G00232","BD","50","1250000","625000","G00390","2","","","50","1250000","","","","","202004",""
